epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.7977,1.86569,3.81158,1.44621,0.42705,0.63932,0.49469,0.23094,1.73297,2.30319,1.54574,0.000474916,0.000474916,0.000474916
2,56.5673,1.68345,2.51871,1.34868,0.51908,0.84653,0.68781,0.35745,1.67373,1.85001,1.45735,0.000904162,0.000904162,0.000904162
3,84.6791,1.64566,2.08954,1.32693,0.44243,0.89602,0.70655,0.41297,1.47038,1.52369,1.40493,0.00128625,0.00128625,0.00128625
4,112.324,1.59557,1.75363,1.30131,0.54982,0.7906,0.72624,0.42063,1.41603,1.30957,1.43164,0.00121679,0.00121679,0.00121679
5,139.804,1.54868,1.59272,1.28006,0.66059,0.88932,0.77006,0.43496,1.53254,1.17603,1.4085,0.00114606,0.00114606,0.00114606
6,167.449,1.50284,1.44514,1.25475,0.77686,0.87284,0.91496,0.53444,1.46071,1.07408,1.32625,0.00107532,0.00107532,0.00107532
7,195.412,1.44497,1.30675,1.22081,0.87616,0.84911,0.93057,0.55805,1.44593,1.00465,1.3948,0.00100459,0.00100459,0.00100459
8,223.752,1.43325,1.1859,1.21698,0.93087,0.91026,0.96286,0.57836,1.41343,0.88614,1.30619,0.000933851,0.000933851,0.000933851
9,252.178,1.38172,1.10544,1.20111,0.94169,0.95513,0.98291,0.60274,1.37005,0.79997,1.32187,0.000863116,0.000863116,0.000863116
10,280.525,1.38036,1.0618,1.19234,0.86863,0.86358,0.9388,0.56467,1.46704,0.92099,1.32772,0.00079238,0.00079238,0.00079238
11,325.358,1.26228,0.9141,1.18591,0.937,0.92776,0.96474,0.59361,1.39824,0.84013,1.32433,0.000721645,0.000721645,0.000721645
12,353.738,1.24509,0.86655,1.18902,0.95246,0.94801,0.98437,0.58204,1.32075,0.80009,1.30247,0.000650909,0.000650909,0.000650909
13,382.526,1.22042,0.8216,1.17042,0.94435,0.98793,0.9864,0.61181,1.37764,0.74216,1.31717,0.000580174,0.000580174,0.000580174
14,411.403,1.18396,0.7896,1.14879,0.93616,0.93929,0.98353,0.59822,1.4015,0.75728,1.34572,0.000509438,0.000509438,0.000509438
15,440.737,1.18194,0.76827,1.1443,0.97316,0.98,0.98612,0.62334,1.36577,0.71837,1.3209,0.000438703,0.000438703,0.000438703
16,470.175,1.18032,0.72842,1.13587,0.95623,0.97951,0.98567,0.61272,1.3571,0.70123,1.30185,0.000367967,0.000367967,0.000367967
17,498.818,1.12573,0.6938,1.11738,0.95855,0.97963,0.98108,0.64725,1.30219,0.68254,1.27542,0.000297232,0.000297232,0.000297232
18,527.951,1.09339,0.68303,1.10643,0.95681,0.97783,0.98497,0.64491,1.28245,0.65993,1.27019,0.000226497,0.000226497,0.000226497
19,557.078,1.08667,0.66952,1.09528,0.95859,0.97615,0.98494,0.65382,1.29134,0.64494,1.27587,0.000155761,0.000155761,0.000155761
20,586.316,1.06622,0.63941,1.08971,0.9466,0.9902,0.9852,0.65379,1.27936,0.6607,1.25895,8.50255e-05,8.50255e-05,8.50255e-05
