epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.5152,1.86569,3.81158,1.44621,0.42705,0.63932,0.49469,0.23094,1.73297,2.30319,1.54574,0.000474916,0.000474916,0.000474916
2,55.8567,1.67231,2.5366,1.34459,0.50448,0.74701,0.67519,0.35923,1.70135,1.63268,1.51368,0.000941832,0.000941832,0.000941832
3,82.4581,1.65035,2.10437,1.32002,0.5794,0.73876,0.67461,0.37259,1.57987,1.45567,1.44787,0.00139932,0.00139932,0.00139932
4,109.226,1.60046,1.80265,1.31179,0.46346,0.86463,0.66273,0.37356,1.47414,1.31518,1.43111,0.00138656,0.00138656,0.00138656
5,135.99,1.57191,1.61116,1.29679,0.54125,0.91771,0.71712,0.39605,1.42775,1.28914,1.37082,0.00137241,0.00137241,0.00137241
6,162.857,1.52669,1.47273,1.27391,0.66065,0.83194,0.78517,0.44581,1.54355,1.2154,1.44297,0.00135826,0.00135826,0.00135826
7,190.18,1.4896,1.41153,1.26177,0.55733,0.8547,0.78962,0.43395,1.51886,1.20729,1.42768,0.00134412,0.00134412,0.00134412
8,217.459,1.46658,1.29479,1.23584,0.87979,0.85881,0.95173,0.54112,1.48343,0.99431,1.37873,0.00132997,0.00132997,0.00132997
9,244.639,1.44713,1.21875,1.23991,0.77865,0.85907,0.87792,0.52991,1.35899,1.01248,1.3109,0.00131582,0.00131582,0.00131582
10,271.974,1.42525,1.19104,1.21786,0.84389,0.84477,0.91764,0.56347,1.4277,0.94217,1.34016,0.00130168,0.00130168,0.00130168
11,299.508,1.41488,1.1224,1.20179,0.73571,0.90918,0.93714,0.53162,1.40579,1.04858,1.37564,0.00128753,0.00128753,0.00128753
12,326.983,1.40952,1.14173,1.21202,0.95498,0.93881,0.97278,0.59748,1.43589,0.79194,1.39814,0.00127338,0.00127338,0.00127338
13,354.202,1.43026,1.08784,1.21223,0.9633,0.94194,0.97301,0.58452,1.42968,0.83528,1.35368,0.00125923,0.00125923,0.00125923
14,381.744,1.40085,1.03719,1.20851,0.94907,0.93384,0.97239,0.60872,1.44154,0.78694,1.37606,0.00124509,0.00124509,0.00124509
15,409.363,1.38656,1.04607,1.2035,0.933,0.93888,0.97466,0.59394,1.36957,0.8097,1.34671,0.00123094,0.00123094,0.00123094
16,437.042,1.39093,1.03821,1.21094,0.92174,0.92997,0.97228,0.5944,1.37334,0.78913,1.32921,0.00121679,0.00121679,0.00121679
17,464.849,1.40003,0.98554,1.21671,0.94408,0.9665,0.97645,0.58245,1.42455,0.78664,1.38485,0.00120265,0.00120265,0.00120265
18,493.158,1.3592,0.99859,1.20351,0.96015,0.96604,0.98551,0.59728,1.42545,0.74744,1.40428,0.0011885,0.0011885,0.0011885
19,521.332,1.34628,0.96133,1.18832,0.95901,0.95214,0.97891,0.60705,1.36098,0.73517,1.35713,0.00117435,0.00117435,0.00117435
20,549.142,1.36095,0.9381,1.18873,0.93372,0.96201,0.98029,0.58845,1.41311,0.77399,1.34401,0.00116021,0.00116021,0.00116021
21,577.63,1.36507,0.9395,1.19936,0.94549,0.96004,0.98321,0.61328,1.31061,0.74442,1.35682,0.00114606,0.00114606,0.00114606
22,605.813,1.35286,0.93734,1.17276,0.96404,0.96921,0.9814,0.60026,1.3779,0.77113,1.39894,0.00113191,0.00113191,0.00113191
23,633.879,1.3275,0.91765,1.16384,0.94207,0.93462,0.97665,0.62858,1.3294,0.73895,1.32946,0.00111776,0.00111776,0.00111776
24,662.168,1.31205,0.94401,1.16487,0.96531,0.97816,0.98798,0.6282,1.37647,0.73538,1.36659,0.00110362,0.00110362,0.00110362
25,690.676,1.32309,0.92036,1.16437,0.98125,0.95913,0.98553,0.61225,1.37901,0.70848,1.35289,0.00108947,0.00108947,0.00108947
26,718.888,1.30688,0.88514,1.15961,0.96051,0.98977,0.98743,0.64492,1.32542,0.69059,1.40897,0.00107532,0.00107532,0.00107532
27,747.183,1.3242,0.87989,1.17185,0.97789,0.96932,0.98324,0.65793,1.29072,0.6374,1.32461,0.00106118,0.00106118,0.00106118
28,775.899,1.29141,0.88963,1.15225,0.93455,0.96397,0.97853,0.5957,1.41483,0.75313,1.37362,0.00104703,0.00104703,0.00104703
29,805.847,1.29808,0.89089,1.15118,0.96464,0.99145,0.98513,0.65913,1.27482,0.66441,1.31529,0.00103288,0.00103288,0.00103288
30,835.952,1.27928,0.85851,1.1405,0.9727,0.98933,0.98706,0.64629,1.35034,0.69672,1.35772,0.00101873,0.00101873,0.00101873
31,866.208,1.28947,0.84378,1.14238,0.96609,0.97216,0.98458,0.65258,1.29466,0.6902,1.30712,0.00100459,0.00100459,0.00100459
32,895.187,1.27897,0.85094,1.15481,0.9356,0.96325,0.97704,0.63382,1.32322,0.68577,1.3331,0.00099044,0.00099044,0.00099044
33,923.861,1.2729,0.83298,1.14048,0.95921,0.97559,0.98583,0.61597,1.4253,0.68804,1.39252,0.000976293,0.000976293,0.000976293
34,952.729,1.25289,0.82922,1.13653,0.96011,0.98034,0.98819,0.64268,1.32882,0.65975,1.3418,0.000962146,0.000962146,0.000962146
35,981.742,1.25852,0.81184,1.15,0.97233,0.9796,0.98515,0.62899,1.39756,0.65851,1.3618,0.000947999,0.000947999,0.000947999
36,1010.4,1.26033,0.82278,1.14993,0.95603,0.98101,0.9854,0.63433,1.29934,0.63152,1.3384,0.000933851,0.000933851,0.000933851
37,1039.11,1.26033,0.81394,1.14349,0.95793,0.98986,0.98343,0.64134,1.3336,0.66395,1.37316,0.000919704,0.000919704,0.000919704
38,1067.98,1.23921,0.79991,1.1294,0.95781,0.97735,0.98267,0.64132,1.34583,0.66534,1.32145,0.000905557,0.000905557,0.000905557
39,1096.6,1.24891,0.82012,1.13682,0.96719,0.98754,0.98692,0.60789,1.36762,0.64879,1.39217,0.00089141,0.00089141,0.00089141
40,1124.95,1.23899,0.81373,1.13113,0.96578,0.9859,0.98221,0.63098,1.37082,0.63,1.33774,0.000877263,0.000877263,0.000877263
41,1153.53,1.25451,0.80097,1.12673,0.95803,0.99066,0.98644,0.65245,1.3708,0.641,1.39534,0.000863116,0.000863116,0.000863116
42,1183.28,1.20342,0.77391,1.11567,0.95972,0.9688,0.97336,0.61062,1.33307,0.66148,1.34146,0.000848969,0.000848969,0.000848969
43,1212.43,1.23509,0.79339,1.1265,0.96072,0.9859,0.97851,0.63784,1.31775,0.6313,1.33831,0.000834822,0.000834822,0.000834822
44,1241.6,1.22359,0.79358,1.11863,0.94108,0.98423,0.978,0.6097,1.39815,0.67212,1.33106,0.000820675,0.000820675,0.000820675
45,1270.57,1.19487,0.75624,1.11105,0.97957,0.97812,0.98397,0.65022,1.32081,0.61066,1.35954,0.000806528,0.000806528,0.000806528
